ตัวย่อหุ้น,หัวข้อข่าว,วันที่เขียนข่าว,เนื้อหาข่าว,วิเคราะห์,เหตุผล
WICE,WICE รับบวกชะลอภาษี 90 วัน ดันงบ Q2 ยังแรงได้อีก,20/05/2025,รายงานจาก Gapfcus และบทวิเคราะห์จากนักวิเคราะห์ระบุว่า WICE ได้รับอานิสงส์จากการขยายระยะเวลาผ่อนปรนภาษีนำเข้าชั่วคราว (Grace Perid) ให้กับสินค้าจากจีน 90 วัน ซึ่งช่วยหนุนยอดขนส่งในไตรมาส 2/2568 ให้ยังคงแข็งแกร่ง เนื่องจากลูกค้าสามารถนำเข้าสินค้าได้ต่อเนื่องโดยไม่ต้องแบกรับภาษีนำเข้าก่อน ทำให้ต้นทุนการขนส่งลดลงและอัตรากำไรเบื้องต้นเพิ่มขึ้น,บวก,การขยาย Grace Perid ช่วยลดต้นทุนให้กลุ่มลูกค้าของ WICE ส่งผลให้ปริมาณการใช้บริการขนส่งเพิ่มขึ้นตามมา โดยตรงต่อรายได้และกำไรของ WICE ใน Q2/2568 อย่างชัดเจน (stck.gapfcus.cm)
WICE,บล.ลิเบอเรเตอร์: WICE แนะนำ BUY ราคาเป้าหมาย 4.30 บาท,20/05/2025,บทวิเคราะห์จาก บล.ลิเบอเรเตอร์ แนะนำหุ้น WICE “ซื้อ” โดยปรับราคาเป้าหมายขึ้นเป็น 4.30 บาท เนื่องจากมองว่าผลประกอบการไตรมาส 1/2568 ที่พลิกมีกำไร 56 ล้านบาท แล้วต่อยอดไปสู่ผลการดำเนินงานที่แข็งแกร่งในไตรมาสถัดไป ทั้งยังประเมินว่าแผนขยายเส้นทางขนส่งในเอเชียและการเข้าช่วง Lw Seasn ภาษีจีนของโซนเอเชีย จะช่วยหนุนอัตราการใช้ศักยภาพในการขนส่งสินค้าของ WICE ให้เต็มที่,บวก,คำแนะนำ “ซื้อ” จากโบรกฯ พร้อมราคาเป้าหมายใหม่ เป็นการสะท้อนความเชื่อมั่นว่าผลงานของ WICE จะเติบโตได้อย่างต่อเนื่องจากปัจจัยบวกด้านภาษีขยาย และแผนขยายเส้นทางขนส่งใหม่ ๆ ในภูมิภาค (stck.gapfcus.cm)
WICE,หุ้น WICE พุ่ง 9.24% โค้งแรกพลิกกำไรกลับเข้าสู่โหมดปกติ “ทรัมป์” ขยาย 90 วันหนุนงบ Q2/68,16/05/2025,รายงานจาก อินโฟเควสท์ และ efinanceThai ระบุว่า ราคาหุ้น WICE พุ่งขึ้น 9.24% มาอยู่ที่ 2.60 บาท หลังประกาศผลกำไรไตรมาส 1/2568 พลิกกลับมีกำไร 56 ล้านบาท จากที่ครึ่งปีแรกปี 2567 ขาดทุน เนื่องจากธุรกิจ Lgistics เริ่มฟื้นตัว และได้รับแรงหนุนจากการขยาย Grace Perid ภาษีนำเข้าจีน 90 วัน ช่วยให้ปริมาณการขนส่งสินค้าผ่านท่าเรือไทยกลับมาพุ่งขึ้นอีกครั้ง,บวก,"การฟื้นตัวของกำไร Q1/2568 ร่วมกับข่าวบวกเรื่อง Grace Perid ภาษีนำเข้าชั่วคราว ทำให้ภาพรวมธุรกิจ Lgistics ของ WICE แข็งแกร่งขึ้น ส่งผลให้ราคาหุ้นปรับตัวขึ้นแรง เพื่อสะท้อนภาพการฟื้นตัวทางธุรกิจที่ชัดเจน (สำนักข่าวอินโฟเควสท์, bangkkbiznews)"
WICE,WICE โชว์กำไร Q1/68 แตะ 56 ล้านบาท มั่นใจรายได้ปี 68 โตตามเป้า 15%,16/05/2025,"จากบทวิเคราะห์ในหุ้นนิคมฯ ระบุว่า WICE รายงานกำไรสุทธิไตรมาส 1/2568 อยู่ที่ 56 ล้านบาท พลิกกลับมามีกำไรหลังจากไตรมาสเดียวกันปีก่อนขาดทุน โดยยอดรายได้รวม 1,000 ล้านบาท ส่วนใหญ่เป็นการให้บริการโลจิสติกส์ครบวงจร พร้อมระบุว่าในปี 2568 บริษัทตั้งเป้ารายได้เติบโตไม่ต่ำกว่า 15% ด้วยกลยุทธ์ขยายเครือข่ายเส้นทางขนส่งระหว่างประเทศและการปรับปรุงประสิทธิภาพให้บริการ",บวก,"กำไรที่พลิกกลับมาเติบโตใน Q1/2568 สะท้อนการบริหารต้นทุนและการขยายบริการได้เป็นผล อีกทั้งการตั้งเป้ารายได้โต 15% ยังยืนยันว่า WICE มองเห็นโอกาสเติบโตชัดเจนจากแผนงานที่วางไว้ในปีนี้ (stck.gapfcus.cm, bangkkbiznews)"
WICE,WICE ผู้ถือหุ้นไฟเขียว เคาะปันผล 0.14 บาท/หุ้น เดินหน้าพัฒนาแผนต่อเนื่อง,23/04/2025,บทสรุปจาก Gapfcus ระบุว่าที่ประชุมผู้ถือหุ้น WICE เมื่อวันที่ 23 เมษายน 2568 มีมติอนุมัติจ่ายเงินปันผล 0.14 บาทต่อหุ้น จากงวดผลการดำเนินงานปี 2567 ซึ่งถือเป็นสัญญาณว่า WICE มีสภาพคล่องและผลการดำเนินงานที่แข็งแกร่ง พร้อมตกลงเดินหน้าพัฒนากลยุทธ์การขยายบริการขนส่งให้ครบวงจรในภูมิภาคต่อเนื่อง,บวก,การจ่ายปันผลถือเป็นการยืนยันว่า WICE มีความสามารถในการปล่อยกระแสเงินสดจากการดำเนินงานไปยังผู้ถือหุ้นได้ ขณะเดียวกันยังสื่อถึงความมั่นใจในการสร้างผลกำไรและขยายธุรกิจให้เติบโตได้ตามเป้าหมายที่วางไว้ (stck.gapfcus.cm)
X,X กวาดกำไรปี 67 แตะ 791 ล้าน จ่อปันผล 0.388 บาท ขึ้น XD 13 มี.ค.68,28/02/2025,X รายงานงบปี 2567 มีกำไรสุทธิ 791 ล้านบาท เติบโต 1% จากปีก่อน พร้อมประกาศจ่ายปันผล 0.388 บาทต่อหุ้น กำหนดขึ้นเครื่องหมาย XD วันที่ 13 มีนาคม 2568 และกำหนดจ่ายปันผลวันที่ 27 มีนาคม 2568 เจ้าของธุรกิจได้แสดงความมั่นใจว่าปี 2568 รายได้จะเติบโตต่อจากกลยุทธ์บุกตลาดยุโรปอเมริกาที่กำลังฟื้นตัว,บวก,กำไรสุทธิปี 67 ที่แตะ 791 ล้านบาทมีการเติบโต แม้อัตราเติบโตจะไม่สูงมาก แต่เป็น All Time High และการจ่ายปันผลสูงถึง 0.388 บาทต่อหุ้นสะท้อนถึงสภาพคล่องและความมั่นใจของผู้บริหารในการดำเนินธุรกิจต่อเนื่อง (ข่าวหุ้นธุรกิจออนไลน์)
X,X เดินหน้าโรงงานใหม่ ลุ้นงบ Q1เติบโตต่อ,11/03/2025,แหล่งข่าวจาก มิติหุ้น รายงานว่า X เตรียมเดินหน้าโครงการโรงงานแห่งใหม่ซึ่งจะช่วยเพิ่มกำลังผลิตรองรับการขยายตลาดในยุโรปและสหรัฐฯ โดยคาดว่าผลประกอบการ Q1/2568 จะเติบโตต่อเนื่องจากไตรมาสก่อนหน้า โดยคาดว่ารายได้และอัตรากำไรขั้นต้นจะอยู่ในระดับที่สูงขึ้น เนื่องจากออเดอร์ส่งออกที่ยังแข็งแกร่ง,บวก,การลงทุนในโรงงานใหม่เป็นสัญญาณบวกว่าบริษัทมองเห็นโอกาสเติบโตในตลาดต่างประเทศอย่างชัดเจน และการประเมินว่ากำไร Q1/2568 จะโตต่อเนื่องสะท้อนว่าออเดอร์และมาตรการบริหารต้นทุนอยู่ในทิศทางที่ดี (มิติหุ้น | ชี้ชัดทุกการลงทุน)
X,X แจ้งงบ Q1/68 กำไรแตะ 113 ล.,15/05/2025,มิติหุ้น รายงานผลประกอบการ Q1/2568 ของ X ที่มีกำไรสุทธิ 113.18 ล้านบาท ลดลงจากช่วงเดียวกันปีก่อนที่มีกำไร 263.66 ล้านบาท เนื่องจากต้นทุนการขายและค่าการตลาดปรับตัวสูงขึ้น แต่ภาพรวมยังถือว่าไม่แย่ เนื่องจากมีการขยายตลาดยุโรปและสร้างโรงงานใหม่เพื่อรองรับออเดอร์ที่ทยอยเข้ามา,กลาง,แม้ว่ากำไรจะลดลงค่อนข้างมากเมื่อเทียบปีก่อน แต่การมีแผนขยายตลาดยุโรปและโรงงานใหม่ช่วยให้มุมมองระยะกลางยาวของหุ้นยังน่าสนใจ จึงจัดเป็น sentiment กลาง ๆ (มิติหุ้น | ชี้ชัดทุกการลงทุน)
X,X ไทยเฟ็กดึงคู่ค้าใหม่ เร่งบุกขยายตลาดทั่วโลก,30/05/2025,จากข้อมูลใน Gapfcus ระบุว่า X ได้ร่วมมือกับ “ไทยเฟ็ก” (Thai Flex) เพื่อดึงคู่ค้าใหม่ในการผลิตบรรจุภัณฑ์และวัตถุดิบสำหรับการส่งออก ส่งผลให้บริษัทสามารถเพิ่มช่องทางจำหน่ายผลิตภัณฑ์ไปยังตลาดต่างประเทศได้รวดเร็วยิ่งขึ้น พร้อมตั้งเป้าขยายตลาดในอเมริกาและยุโรปให้ครอบคลุมมากขึ้นภายในปี 2568,บวก,การร่วมมือกับพันธมิตรด้านวัตถุดิบและบรรจุภัณฑ์จะช่วยลดต้นทุนและเพิ่มประสิทธิภาพ Supply Chain ทำให้ X สามารถตอบสนองออเดอร์ส่งออกได้มากขึ้น ซึ่งเป็นปัจจัยเชิงบวกต่อการเติบโตของรายได้ระหว่างประเทศ (stck.gapfcus.cm)
X,X สรุปผลการดำเนินงานไตรมาส 1/68 และคำอธิบายของฝ่ายจัดการ,15/05/2025,จากเอกสารทางการของ X บน SET ระบุว่าในไตรมาส 1/2568 บริษัทมีกำไรสุทธิ 113.18 ล้านบาท ลดลงจากปี 2567 ที่มีกำไร 263.66 ล้านบาท ส่วนฝ่ายจัดการอธิบายว่าเป็นผลจากต้นทุนการขายและค่าใช้จ่ายในการขยายตลาดที่เพิ่มขึ้น แต่มั่นใจว่าแผนการลงทุนโรงงานใหม่และการขยายตลาดยุโรป–สหรัฐฯ จะช่วยส่งผลบวกในไตรมาสถัดไป,กลาง,"แม้ผลกำไรลดลงจะเป็นจุดลบชัดเจน แต่การอธิบายของฝ่ายจัดการเรื่องต้นทุนที่เกิดขึ้นจากแผนขยายตลาดและโรงงานใหม่สะท้อนว่าเป็นการลงทุนเพื่ออนาคต ทำให้ sentiment จึงอยู่ในระดับกลาง (stck.gapfcus.cm, stck.gapfcus.cm)"
ZEN,ZEN แจ้งงบปี 67 กำไรแตะ 56 ล้านบาท,21/02/2025,รายงานจาก มิติหุ้น ระบุว่า ZEN มีกำไรสุทธิในปี 2567 จำนวน 56 ล้านบาท เติบโตจากปีก่อนหน้าเล็กน้อย โดยส่วนหนึ่งเกิดจากการปรับโครงสร้างต้นทุนและการลดสาขาที่มีประสิทธิภาพต่ำ อย่างไรก็ตาม ยอดขายต่อสาขาโดยเฉลี่ยยังปรับตัวลดลงเนื่องจากกำลังซื้อในช่วงดังกล่าวชะลอตัว,กลาง,กำไรปี 2567 ทะลุ 56 ล้านบาทแม้จะเติบโตเล็กน้อย แต่ยอดขายต่อตารางฟุตหรือหัวร้านลดลงสะท้อนถึงความท้าทายของกำลังซื้อในช่วงดังกล่าว ทำให้ sentiment จึงอยู่ในระดับกลางโดยมีทั้งปัจจัยบวกเรื่องกำไรและลบเรื่องยอดขายที่ลดลง (มิติหุ้น | ชี้ชัดทุกการลงทุน)
ZEN,ZEN แจ้งงบ Q1/68 กำไรแตะ 12 ล้านบาท,15/05/2025,จาก มิติหุ้น รายงานผลประกอบการงวดไตรมาสแรกปี 2568 ของ ZEN มีรายได้จากการขาย 250 ล้านบาท ลดลงจากไตรมาสแรกปีก่อนเล็กน้อย แต่บริษัทยังคงมีกำไรสุทธิ 12 ล้านบาท ลดลงจาก 18 ล้านบาท ใน Q1/2567 เหตุเพราะต้นทุนวัตถุดิบปรับตัวสูงขึ้น ขณะที่รายได้จากสาขาแฟรนไชส์ใหม่ๆ ยังไม่ทันชดเชยต้นทุนที่เพิ่มขึ้นทั้งหมด,กลาง,การยังคงมีกำไรสุทธิถือเป็นปัจจัยบวก แต่ยอดยอดขายและต้นทุนที่เพิ่มขึ้นคือจุดท้าทาย ทำให้ภาพรวม sentiment จึงอยู่ในระดับกลาง (มิติหุ้น | ชี้ชัดทุกการลงทุน)
ZEN,ZEN จ่อปิด 17 สาขาปีนี้ กูรูปรับเป้ากำไรลง,26/05/2025,"บทวิเคราะห์จาก มิติหุ้น ระบุว่า ZEN โดย บล.อินโนเวสท์ เอกซ์ ได้ปรับประมาณการกำไรปกติของ ZEN ลดลง 7% ในปี 2568 และ 7% ในปี 2569 เนื่องจากผลประกอบการ Q1/2568 ที่อ่อนแอ, SSS (Same Stre Sales) ลดลง 5% จาก +2% ในปี 2568 และจำนวนสาขาเหลือ 165 แห่ง ในปี 2568 (จากช่วงพีค 182 แห่ง และปี 2567 อยู่ที่ 177 แห่ง) เนื่องจากบริษัทตัดสินใจปิด 17 สาขาที่ขาดประสิทธิภาพ เพื่อเน้นธุรกิจหลักและลดต้นทุน",ลบ,การปรับลดกำไรเป้าหมายทั้งปีและการตัดสินใจปิดสาขาถึง 17 แห่งสะท้อนว่าภาพรวมธุรกิจยังเผชิญแรงกดดัน ทำให้ sentiment สำหรับข่าวนี้เป็นลบ (มิติหุ้น | ชี้ชัดทุกการลงทุน)
ZEN,คำอธิบายและวิเคราะห์ของฝ่ายจัดการ ไตรมาสที่ 1 สิ้นสุดวันที่ 31 มี.ค. 2568,15/05/2025,จากเอกสารบน SET ระบุว่า ZEN รายงานผลประกอบการ Q1/2568 โดยระบุว่าภาพรวมรายได้จากร้านอาหารลดลงจากปีก่อน เนื่องจากกำลังซื้อยังไม่ฟื้นตัวเต็มที่ และต้นทุนวัตถุดิบปรับตัวสูงขึ้น ฝ่ายจัดการยังชี้ว่าบริษัทกำลังปรับโครงสร้างเมนูใหม่ เพิ่มแคมเปญการตลาดเพื่อกระตุ้นยอดขาย ควบคู่กับการบริหารค่าใช้จ่ายเพื่อรักษาอัตรากำไรไว้ให้ได้มากที่สุด,กลาง,"ข่าวนี้เน้นการอธิบายปัจจัยลบที่เกิดขึ้น (ต้นทุนสูง, กำลังซื้ออ่อน) แต่ชี้แนวทางปรับกลยุทธ์เพื่อฟื้นตัว ทำให้ sentiment จึงอยู่ในระดับกลาง (SETTRADE)"
ZEN,ZEN แจ้งการจัดส่งรายงานการประชุมผู้ถือหุ้นสามัญ ประจำปี 2568 ต่อ SET,06/05/2025,ZEN แจ้งตลาดหลักทรัพย์ฯ ว่าบริษัทได้จัดส่งรายงานการประชุมผู้ถือหุ้นสามัญประจำปี 2568 พร้อมวีดีทัศน์การประชุมผ่านเว็บไซต์บริษัท เพื่อให้ผู้ถือหุ้นและนักลงทุนติดตามประเด็นสำคัญที่รับรองผลการดำเนินงานปี 2567 และมติการอนุมัติวาระต่าง ๆ เช่น การจ่ายปันผล,กลาง,ข่าวในลักษณะการประชาสัมพันธ์เอกสารประชุมผู้ถือหุ้นนั้นเป็นข่าวที่ “เป็นมาตรฐาน” ไม่มีผลกระทบเชิงบวกหรือลบต่อราคาหุ้นอย่างเด่นชัด ดังนั้น sentiment จึงเป็นกลาง (stck.gapfcus.cm)
UPIC,UPIC เผยงบรวม Q1/68 กำไรสุทธิลดลงเหลือ 35.79 ล้านบาท,09/05/2568,"บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน) และบริษัทย่อย รายงานผลประกอบการไตรมาส 1/2568 มีกำไรสุทธิ 35.79 ล้านบาท ลดลง 33.3% จากช่วงเดียวกันปีก่อนที่มีกำไรสุทธิ 53.69 ล้านบาท สาเหตุหลักมาจากปริมาณขายน้ำมันปาล์มดิบลดลงจากภาวะภัยแล้ง ทำให้ต้นทุนการผลิตต่อหน่วยเพิ่มขึ้น (สำนักข่าวอินโฟเควสท์, Ai)",ลบ,"กำไรสุทธิที่ลดลงถึง 33.3% เมื่อเทียบกับปีก่อนเป็นสัญญาณชัดเจนว่าผลงานไตรมาสแรกของบริษัทอ่อนตัวลง ส่งผลให้ภาพรวมการดำเนินงานของ UPIC ในระยะสั้นเป็นลบ (สำนักข่าวอินโฟเควสท์, Ai)"
